"project","version","code_lines","test_lines","test_ratio" 
kibana,2,2591,0,0
kibana,3,3203,0,0
kibana,4,48577,3217,0.06622475657204027
kibana,5,149484,27749,0.18563190709373578
kibana,6,211502,14685,0.06943196754640618
kibana,7,155249,14591,0.09398450231563488
kibana,8,102673,9815,0.09559475227177544
kibana,9,658993,9976,0.015138248812961594
kibana,10,19878,7568,0.3807224066807526
kibana,11,22908,10161,0.44355683603981144
kibana,12,28324,13861,0.4893729699195029
kibana,13,32341,15812,0.48891499953619244
kibana,14,163824,83304,0.5084969235276883
kibana,15,181808,162327,0.8928484995159729
kibana,16,184490,163260,0.8849260122499865
kibana,17,186537,164163,0.8800559674488171
kibana,18,187897,164928,0.8777574947976817
kibana,19,65488,42177,0.6440416564866845
kibana,20,70122,44737,0.637988077921337
kibana,21,73168,46608,0.6369997813251694
kibana,22,75147,47736,0.6352349395185437
kibana,23,70689,23503,0.33248454497870955
kibana,24,72056,24528,0.34040190962584654
spinnaker,1,0,0,0
spinnaker,2,19,0,0
spinnaker,3,19,0,0
spinnaker,4,19,0,0
spinnaker,5,19,0,0
spinnaker,6,19,0,0
spinnaker,7,19,0,0
spinnaker,8,19,0,0
spinnaker,9,19,0,0
spinnaker,10,19,0,0
spinnaker,11,2718,146,0.05371596762325239
spinnaker,12,7654,443,0.05787823360334465
spinnaker,13,7496,586,0.07817502668089647
spinnaker,14,7496,586,0.07817502668089647
spinnaker,15,7684,647,0.08420093701197293
spinnaker,16,7692,650,0.0845033801352054
spinnaker,17,7819,650,0.08313083514515923
spinnaker,18,7861,650,0.08268668108383158
spinnaker,19,7969,708,0.08884427155226503
spinnaker,20,8178,721,0.08816336512594766
spinnaker,21,8163,721,0.08832537057454368
spinnaker,22,8173,721,0.08821730086871406
spinnaker,23,8191,721,0.08802344036137223
spinnaker,24,13707,4789,0.34938352666520756
etherpad-lite,1,26123,0,0
etherpad-lite,2,26586,0,0
etherpad-lite,3,27156,0,0
etherpad-lite,4,29357,0,0
etherpad-lite,5,29433,0,0
etherpad-lite,6,29755,0,0
etherpad-lite,7,29418,0,0
etherpad-lite,8,29436,0,0
etherpad-lite,9,29659,0,0
etherpad-lite,10,31167,0,0
etherpad-lite,11,29598,0,0
etherpad-lite,12,34970,5232,0.14961395481841577
etherpad-lite,13,36365,5470,0.15041935927402722
etherpad-lite,14,36427,5548,0.1523046092184369
etherpad-lite,15,36941,5647,0.1528653799301589
etherpad-lite,16,37724,5784,0.15332414378114728
etherpad-lite,17,38374,5894,0.1535935789857716
etherpad-lite,18,38483,5959,0.15484759504196657
etherpad-lite,19,38500,5959,0.15477922077922077
etherpad-lite,20,38548,5959,0.1545864895714434
etherpad-lite,21,38611,6010,0.15565512418740773
etherpad-lite,22,38611,6010,0.15565512418740773
etherpad-lite,23,38663,6010,0.1554457750303908
etherpad-lite,24,38723,6010,0.15520491697440797
openhab,1,221425,7441,0.03360505814609913
openhab,2,221932,6042,0.02722455526918155
openhab,3,229985,6808,0.02960193056068874
openhab,4,231065,6997,0.030281522515309543
openhab,5,233493,7021,0.030069423922772846
openhab,6,242338,7089,0.02925253158811247
openhab,7,253861,7274,0.02865347572096541
openhab,8,257715,7311,0.028368546650369593
openhab,9,261443,7418,0.02837329743003255
openhab,10,281197,7459,0.02652588754503071
