transitionVersion,project,medianInsertions,medianDeletions,medianFiles,medianChanges,medianNumberOfCodeFiles,medianNumberOfCodeFilesChanges,medianMedianDepthCodeFiles,totalCommits,totalChanges,totalNumberOfCodeFilesChanges,totalNumberOfTestFilesChanges,changesPerCommit,codeChangesPerCommit,testChangesPerCommit,countCommitsWithTests,testCommitRatio,totalCommitters,countLowContributors
23,underscore,6,1.5,1,7,0,0,1,14,207,36,13,14.785714285714286,2.5714285714285716,0.9285714285714286,2,0.14285714285714285,7,6
24,underscore,7,1,1,9,1,4,1,11,90,54,12,8.181818181818182,4.909090909090909,1.0909090909090908,3,0.2727272727272727,4,2
2,cesium,23,10,2,45,1,19.5,3,328,96227,32902,14963,293.375,100.3109756097561,45.61890243902439,95,0.2896341463414634,9,1
3,cesium,16,10,2,34,1,14,3,541,599190,428267,22934,1107.5600739371534,791.6210720887245,42.39186691312384,108,0.19963031423290203,9,
4,cesium,27,11,2,48,1,17,3,273,68870,30407,9893,252.27106227106228,111.38095238095238,36.23809523809524,92,0.336996336996337,7,
5,cesium,16,7,2,24.5,1,10.5,3,226,24424,14060,5222,108.070796460177,62.21238938053097,23.106194690265486,49,0.2168141592920354,12,2
6,cesium,14.5,6,2,29,1,9,3,242,17168,9549,2939,70.94214876033058,39.45867768595041,12.144628099173554,42,0.17355371900826447,11,1
7,cesium,12.5,4,1,20.5,1,10,3,190,68459,63440,2933,360.31052631578945,333.89473684210526,15.436842105263159,49,0.2578947368421053,10,1
8,cesium,19,8,2,43,1,13,3,307,2009572,737927,7242,6545.837133550489,2403.671009771987,23.58957654723127,78,0.254071661237785,10,2
9,cesium,15.5,7,2,29,1,14,3,186,32063,23416,2150,172.38172043010752,125.89247311827957,11.559139784946236,40,0.21505376344086022,10,1
10,cesium,13,7,2,25,1,5,3,277,26559,8933,2818,95.88086642599278,32.24909747292419,10.173285198555957,54,0.19494584837545126,13,2
11,cesium,14,7,1,28,1,13,3,359,32306,20146,7976,89.98885793871867,56.116991643454035,22.21727019498607,88,0.24512534818941503,17,2
12,cesium,23,12,2,40,1,21,3,379,1077629,498615,12499,2843.348284960422,1315.6068601583113,32.97889182058047,122,0.32189973614775724,15,3
13,cesium,23,9,1,36,1,19,3,445,328344,32496,9863,737.8516853932584,73.0247191011236,22.164044943820226,102,0.2292134831460674,11,
14,cesium,28,9,2,43.5,1,22,3,298,50100,31126,10823,168.1208053691275,104.4496644295302,36.31879194630873,99,0.33221476510067116,11,
15,cesium,22,10,2,43,1,18,3,471,77259,48086,18020,164.03184713375796,102.09341825902335,38.259023354564754,175,0.37154989384288745,15,2
16,cesium,11.5,4,2,23.5,1,8,3,334,22476,12936,6111,67.2934131736527,38.73053892215569,18.29640718562874,128,0.38323353293413176,13,2
17,cesium,17,7,1,30.5,1,14.5,3,246,102416,15797,2805,416.3252032520325,64.21544715447155,11.402439024390244,64,0.2601626016260163,11,
18,cesium,19,5,1,31.5,1,6.5,3,208,25253,9066,7025,121.40865384615384,43.58653846153846,33.77403846153846,62,0.2980769230769231,11,
19,cesium,15,6.5,2,23,1,14.5,3,142,263011,8372,4224,1852.1901408450703,58.95774647887324,29.746478873239436,41,0.2887323943661972,9,
20,cesium,13,7,2,24,1,13,3,333,214550,33914,28788,644.2942942942943,101.84384384384384,86.45045045045045,100,0.3003003003003003,11,1
21,cesium,17,6,2,29,1,8,3,280,353730,23754,30092,1263.3214285714287,84.83571428571429,107.47142857142858,77,0.275,9,1
22,cesium,14,8,2,26.5,1,15,3,200,33585,22192,9320,167.925,110.96,46.6,54,0.27,7,
23,cesium,14,6.5,2,33.5,1,14,3,264,26352,16522,7570,99.81818181818181,62.583333333333336,28.674242424242426,92,0.3484848484848485,8,
24,cesium,16.5,9,2,35.5,1,16,3,352,122524,59368,41658,348.07954545454544,168.6590909090909,118.3465909090909,121,0.34375,13,2
2,pdf.js,6,2,1,10,1,5,2,75,6569,5679,267,87.58666666666667,75.72,3.56,7,0.09333333333333334,9,4
3,pdf.js,7,4,1,13,1,5,2,135,13194,10055,756,97.73333333333333,74.48148148148148,5.6,25,0.18518518518518517,9,1
4,pdf.js,9,2,2,14,1,2,2,151,9735,2242,257,64.47019867549669,14.847682119205299,1.7019867549668874,14,0.09271523178807947,25,15
5,pdf.js,7,2,1,12,1,2,2,61,4448,2097,627,72.91803278688525,34.377049180327866,10.278688524590164,7,0.11475409836065574,13,6
6,pdf.js,9,4,1,13,1,9,2,45,1285,803,83,28.555555555555557,17.844444444444445,1.8444444444444446,5,0.1111111111111111,9,3
7,pdf.js,6,3,1,9,1,3,2,65,2732,2158,73,42.03076923076923,33.2,1.123076923076923,10,0.15384615384615385,8,1
8,pdf.js,7,3,1,12,1,7,2,72,2990,2017,139,41.52777777777778,28.01388888888889,1.9305555555555556,6,0.08333333333333333,13,4
9,pdf.js,8,3,1,13,1,7.5,2,120,4776,3809,121,39.8,31.741666666666667,1.0083333333333333,11,0.09166666666666666,18,8
10,pdf.js,16.5,2,1.5,22,1,4,2,48,2786,1330,335,58.041666666666664,27.708333333333332,6.979166666666667,10,0.20833333333333334,16,6
11,pdf.js,9.5,2,1,12.5,1,6,2,40,4133,2503,977,103.325,62.575,24.425,13,0.325,11,4
12,pdf.js,19,3,1,21,1,9,2,35,2420,2092,156,69.14285714285714,59.77142857142857,4.457142857142857,11,0.3142857142857143,8,1
13,pdf.js,9,2,1,11,1,8,2,95,3339,2145,545,35.14736842105263,22.57894736842105,5.7368421052631575,18,0.18947368421052632,17,8
14,pdf.js,10,2,1,14,1,4,2,67,3409,2270,269,50.88059701492537,33.88059701492537,4.014925373134329,22,0.3283582089552239,14,6
15,pdf.js,7,2,1,10,1,2,2,67,6547,5254,271,97.71641791044776,78.41791044776119,4.044776119402985,13,0.19402985074626866,18,6
16,pdf.js,10,3.5,2,16,1,9,2,62,4839,3618,107,78.04838709677419,58.354838709677416,1.7258064516129032,11,0.1774193548387097,19,8
17,pdf.js,15,6,1,19,1,17,2,33,3211,3051,130,97.3030303030303,92.45454545454545,3.9393939393939394,7,0.21212121212121213,8,1
18,pdf.js,11,2,1,14,1,9.5,2,60,4899,4462,151,81.65,74.36666666666666,2.5166666666666666,16,0.26666666666666666,8,2
19,pdf.js,10,4,1,20,1,17,2,45,5138,4639,190,114.17777777777778,103.08888888888889,4.222222222222222,7,0.15555555555555556,9,2
20,pdf.js,7.5,2,1,10.5,1,5,2,44,2441,1091,31,55.47727272727273,24.795454545454547,0.7045454545454546,4,0.09090909090909091,15,9
21,pdf.js,16,5,1,25,1,16,2,45,5148,4347,124,114.4,96.6,2.7555555555555555,6,0.13333333333333333,17,7
22,pdf.js,11.5,2,2,16.5,1,9.5,3,34,1363,1232,72,40.088235294117645,36.23529411764706,2.1176470588235294,10,0.29411764705882354,10,4
23,pdf.js,6,2,1,9,1,7,2,43,1506,1327,51,35.02325581395349,30.86046511627907,1.186046511627907,3,0.06976744186046512,12,5
24,pdf.js,8.5,2.5,1,9,1,7.5,3,44,1568,1299,87,35.63636363636363,29.522727272727273,1.9772727272727273,9,0.20454545454545456,15,6
2,core,6,3,1,10,1,6,3,409,460438,298033,5008,1125.765281173594,728.6870415647921,12.244498777506113,68,0.16625916870415647,27,8
3,core,7,3,1,11,1,4.5,3,370,117321,14370,2004,317.08378378378376,38.83783783783784,5.416216216216216,54,0.14594594594594595,23,4
4,core,7,4,1,16,1,11,3,401,135428,30476,4978,337.72568578553614,76,12.413965087281795,28,0.06982543640897755,27,6
5,core,5,2,1,9,1,6,3.5,564,134905,27854,5264,239.19326241134752,49.38652482269504,9.333333333333334,105,0.18617021276595744,29,9
