transitionVersion,project,medianInsertions,medianDeletions,medianFiles,medianChanges,medianNumberOfCodeFiles,medianNumberOfCodeFilesChanges,medianMedianDepthCodeFiles,totalCommits,totalChanges,totalNumberOfCodeFilesChanges,totalNumberOfTestFilesChanges,changesPerCommit,codeChangesPerCommit,testChangesPerCommit,countCommitsWithTests,testCommitRatio,totalCommitters,countLowContributors
17,CodeIgniter,4.5,2,1,8,1,4,3,168,9306,7811,72,55.392857142857146,46.49404761904762,0.42857142857142855,10,0.05952380952380952,29,17
18,CodeIgniter,6.5,2,1,9.5,1,4,3,60,2190,1136,491,36.5,18.933333333333334,8.183333333333334,4,0.06666666666666667,19,10
19,CodeIgniter,5,1,1,7,1,2,3,49,2922,931,1180,59.63265306122449,19,24.081632653061224,10,0.20408163265306123,12,5
20,CodeIgniter,4,3,1,9,1,3,3,102,3107,1642,1081,30.46078431372549,16.098039215686274,10.598039215686274,18,0.17647058823529413,16,12
21,CodeIgniter,8.5,6,2,18,1,8,3,196,21884,15360,516,111.65306122448979,78.36734693877551,2.63265306122449,22,0.11224489795918367,16,9
22,CodeIgniter,9.5,4,1,14,1,12,3,78,3443,2228,544,44.14102564102564,28.564102564102566,6.9743589743589745,10,0.1282051282051282,16,10
23,CodeIgniter,4,4,1,11,1,10,3,41,5175,4987,14,126.21951219512195,121.63414634146342,0.34146341463414637,4,0.0975609756097561,14,8
24,CodeIgniter,3,2,1,6,1,4,3,81,2485,2171,38,30.679012345679013,26.80246913580247,0.4691358024691358,5,0.06172839506172839,20,16
2,phaser,243,76,10,381,5,235,2.5,51,647983,399545,149781,12705.549019607843,7834.21568627451,2936.8823529411766,29,0.5686274509803921,3,1
3,phaser,716.5,236,16,1214,8,659.5,3,56,325508,211073,97161,5812.642857142857,3769.160714285714,1735.017857142857,49,0.875,2,
4,phaser,1101,151.5,14.5,1517,9.5,852,3,18,118252,64559,48085,6569.555555555556,3586.6111111111113,2671.3888888888887,16,0.8888888888888888,2,
5,phaser,575.5,203.5,17,1046,10.5,428,3,40,434951,303202,124071,10873.775,7580.05,3101.775,34,0.85,2,
6,phaser,195.5,42.5,5.5,256,5,209.5,3,136,307217,203748,29306,2258.948529411765,1498.1470588235295,215.48529411764707,9,0.0661764705882353,2,
7,phaser,105,34,6,186,4.5,152.5,3,112,631224,115736,21174,5635.928571428572,1033.357142857143,189.05357142857142,3,0.026785714285714284,10,7
8,phaser,74,14,3,120,2,80,3,99,314642,60576,658,3178.2020202020203,611.8787878787879,6.646464646464646,5,0.050505050505050504,15,10
9,phaser,120.5,25,5.5,178.5,2.5,59.5,3,78,296117,128645,242,3796.371794871795,1649.2948717948718,3.1025641025641026,3,0.038461538461538464,7,4
10,phaser,161,56,5,221,4,208.5,3,58,55247,53988,235,952.5344827586207,930.8275862068965,4.051724137931035,4,0.06896551724137931,6,4
11,phaser,119,35,4,185,3,169,3,153,347376,178420,182,2270.4313725490197,1166.1437908496732,1.1895424836601307,8,0.05228758169934641,13,9
12,phaser,74,12,4,100,3,91,3,272,933767,462165,2859,3432.966911764706,1699.1360294117646,10.511029411764707,10,0.03676470588235294,14,7
13,phaser,14,6,2,26.5,1,17,3,198,325422,209120,0,1643.5454545454545,1056.1616161616162,0,0,0,18,12
14,phaser,13,2,2,18,1,15,3,163,65223,26701,0,400.1411042944785,163.80981595092024,0,0,0,19,13
15,phaser,10,4,2,15,1,11,3,92,33578,17472,0,364.9782608695652,189.91304347826087,0,0,0,13,8
16,phaser,10,3,1,16,1,8,3,175,50615,28915,0,289.22857142857146,165.22857142857143,0,0,0,26,18
17,phaser,10,3,2,14,1,8,3,37,11829,2277,0,319.7027027027027,61.54054054054054,0,0,0,13,8
18,phaser,10.5,2,2,17,1,14,3,194,239565,178836,0,1234.8711340206185,921.8350515463917,0,0,0,17,12
19,phaser,18,4,2,25,1,22.5,3,96,47133,16830,0,490.96875,175.3125,0,0,0,10,7
20,phaser,12,6,2,21,1,20,3,205,112016,105458,0,546.4195121951219,514.4292682926829,0,0,0,14,8
21,phaser,19.5,8,1,31.5,1,25,3,194,1200577,104783,0,6188.541237113402,540.1185567010309,0,0,0,10,4
22,phaser,7,3,1,11.5,1,2,3,82,15722,5146,0,191.73170731707316,62.75609756097561,0,0,0,10,6
23,phaser,6,2,1,11,1,8.5,3,94,45753,45577,0,486.7340425531915,484.86170212765956,0,0,0,18,15
24,phaser,14,5,2,24,1,22,3,137,494394,493523,0,3608.715328467153,3602.3576642335765,0,0,0,6,3
2,foundation-sites,12,7,2,29,1,2.5,5,58,9872,3987,2813,170.20689655172413,68.74137931034483,48.5,8,0.13793103448275862,7,2
3,foundation-sites,37,10,3,68,0,0,5,27,6109,1860,346,226.25925925925927,68.88888888888889,12.814814814814815,9,0.3333333333333333,6,3
4,foundation-sites,39,27.5,2.5,76.5,1,6.5,3,178,156579,66544,16654,879.6573033707865,373.8426966292135,93.56179775280899,24,0.1348314606741573,6,1
5,foundation-sites,4,2,1,8,1,4,3,575,39000,27900,1910,67.82608695652173,48.52173913043478,3.3217391304347825,2,0.0034782608695652175,72,60
6,foundation-sites,4,2,1,6,1,2,3,174,9856,3288,0,56.64367816091954,18.896551724137932,0,0,0,41,32
7,foundation-sites,3.5,2,1,6,1,2,3,164,7657,2954,0,46.6890243902439,18.01219512195122,0,0,0,42,32
8,foundation-sites,3,1,1,5,1,3,3,119,17240,15146,0,144.87394957983193,127.27731092436974,0,0,0,27,20
9,foundation-sites,5,3,1,8,1,5,3,115,9307,5581,0,80.9304347826087,48.530434782608694,0,0,0,32,20
10,foundation-sites,2,2,1,4,1,2,3,95,2610,1537,0,27.473684210526315,16.178947368421053,0,0,0,37,24
11,foundation-sites,2.5,1.5,1,4.5,1,2,3,80,7657,7220,80,95.7125,90.25,1,1,0.0125,26,19
12,foundation-sites,4,2,1,6,1,2.5,3,88,3359,2487,0,38.17045454545455,28.261363636363637,0,0,0,33,20
13,foundation-sites,8,4,2,15.5,0,0,3,684,155054,22658,499,226.68713450292398,33.12573099415204,0.72953216374269,11,0.01608187134502924,17,9
14,foundation-sites,2,1,1,4,0,0,3,149,14275,11312,0,95.80536912751678,75.91946308724832,0,0,0,64,51
15,foundation-sites,4,2,1,7,1,2,3,151,3966,1262,0,26.264900662251655,8.357615894039736,0,0,0,47,34
16,foundation-sites,3,2,1,6,0,0,3,283,10366,2712,645,36.628975265017665,9.583038869257951,2.2791519434628977,9,0.03180212014134275,57,38
17,foundation-sites,3.5,2,1,7,0,0,3,250,6905,2510,110,27.62,10.04,0.44,2,0.008,54,37
18,foundation-sites,2,1,1,5,0,0,3,215,3267,774,67,15.195348837209302,3.6,0.3116279069767442,3,0.013953488372093023,63,47
19,foundation-sites,2,1,1,4,0,0,3,98,1364,500,0,13.918367346938776,5.1020408163265305,0,0,0,40,29
20,foundation-sites,3.5,2,1,6.5,0,0,3,136,7165,811,13,52.68382352941177,5.963235294117647,0.09558823529411764,1,0.007352941176470588,38,28
21,foundation-sites,4,2,1,9,0,0,3,77,180999,1402,6,2350.6363636363635,18.207792207792206,0.07792207792207792,3,0.03896103896103896,26,18
22,foundation-sites,6,3,1,10,0,0,3,139,54132,630,15,389.43884892086334,4.532374100719425,0.1079136690647482,1,0.007194244604316547,39,25
23,foundation-sites,4,2,1,6,0,0,3,201,4750,686,70,23.6318407960199,3.4129353233830844,0.3482587064676617,5,0.024875621890547265,48,36
24,foundation-sites,2.5,1,1,4,0,0,3,72,861,157,23,11.958333333333334,2.1805555555555554,0.3194444444444444,1,0.013888888888888888,34,29
2,sensu,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,NaN,0,
3,sensu,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,NaN,0,
4,sensu,8,3,2,14,0,0,2,117,2681,727,0,22.914529914529915,6.213675213675214,0,0,0,2,
5,sensu,4,2,1,6,0,0,5,109,2953,727,197,27.091743119266056,6.669724770642202,1.8073394495412844,5,0.045871559633027525,2,
6,sensu,5,3,1,10,1,2,3,83,2418,1318,461,29.132530120481928,15.879518072289157,5.554216867469879,26,0.3132530120481928,2,
7,sensu,4,2,1,8,1,2,3,53,1438,885,196,27.132075471698112,16.69811320754717,3.69811320754717,11,0.20754716981132076,2,
8,sensu,3,2,1,6,1,2,3,125,6718,3708,991,53.744,29.664,7.928,18,0.144,5,2
9,sensu,4,3,1,8,1,4,3,133,3729,2979,410,28.037593984962406,22.398496240601503,3.082706766917293,29,0.21804511278195488,6,3
10,sensu,4,2,1,6,1,4,3,85,1940,1128,143,22.823529411764707,13.270588235294118,1.6823529411764706,13,0.15294117647058825,4,2
11,sensu,3,2,1,4.5,1,2,3,42,683,305,56,16.261904761904763,7.261904761904762,1.3333333333333333,5,0.11904761904761904,5,3
12,sensu,4,2,1,6,1,4,3,41,906,355,112,22.097560975609756,8.658536585365853,2.731707317073171,9,0.21951219512195122,4,2
13,sensu,2,2,1,4.5,0.5,1,3,40,2119,1685,209,52.975,42.125,5.225,8,0.2,4,3
14,sensu,6,4,2,13,1,6,3,57,7287,4364,973,127.84210526315789,76.56140350877193,17.07017543859649,18,0.3157894736842105,3,2
15,sensu,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,NaN,0,
16,sensu,7,5,1,12,1,2,3,27,1853,603,216,68.62962962962963,22.333333333333332,8,11,0.4074074074074074,1,
17,sensu,5,4,1,8,1,6,3,45,1551,1424,79,34.46666666666667,31.644444444444446,1.7555555555555555,4,0.08888888888888889,3,1
18,sensu,11,5.5,2,19,1,4,3,58,3068,1079,1800,52.89655172413793,18.603448275862068,31.03448275862069,24,0.41379310344827586,1,
19,sensu,3,1,1,5,1,3,3,27,598,524,50,22.14814814814815,19.40740740740741,1.8518518518518519,5,0.18518518518518517,1,
20,sensu,7,2,1,9,1,4,3,15,182,130,27,12.133333333333333,8.666666666666666,1.8,3,0.2,3,2
21,sensu,8,2,1,10,1,7,3,29,614,461,142,21.17241379310345,15.89655172413793,4.896551724137931,8,0.27586206896551724,3,2
22,sensu,11,3,2,20,1,2,3,93,6348,2193,4061,68.25806451612904,23.580645161290324,43.666666666666664,54,0.5806451612903226,2,1
23,sensu,4,1,1,5,1,2,3,31,939,424,467,30.29032258064516,13.67741935483871,15.064516129032258,9,0.2903225806451613,3,2
24,sensu,4,2,1,6,1,2,3,85,2011,1496,469,23.658823529411766,17.6,5.517647058823529,24,0.2823529411764706,5,3
2,request,4,1.5,1,5.5,1,5,1,14,558,552,2,39.857142857142854,39.42857142857143,0.14285714285714285,1,0.07142857142857142,8,7
3,request,3,1,1,4,1,2,1,3,22,6,16,7.333333333333333,2,5.333333333333333,1,0.3333333333333333,2,1
4,request,5,1,1,10,1,1,1,7,301,131,149,43,18.714285714285715,21.285714285714285,2,0.2857142857142857,4,2
5,request,3,2,2,8,1,5,1,35,12649,4475,3225,361.4,127.85714285714286,92.14285714285714,14,0.4,10,8
6,request,2,1,1,2.5,0.5,1,1,30,834,640,167,27.8,21.333333333333332,5.566666666666666,5,0.16666666666666666,10,7
7,request,1.5,1,1,3,0,0,1,24,329,43,231,13.708333333333334,1.7916666666666667,9.625,10,0.4166666666666667,10,9
8,request,1,1,1,2,0.5,1,1,2,4,2,0,2,1,0,0,0,2,2
9,request,6.5,1,1,10.5,1,3.5,1,6,81,30,51,13.5,5,8.5,2,0.3333333333333333,4,3
10,request,1,1,1,2,0,0,1,17,249,197,21,14.647058823529411,11.588235294117647,1.2352941176470589,2,0.11764705882352941,8,7
11,request,1.5,1,1,3,0.5,1,1,16,5080,5032,2,317.5,314.5,0.125,1,0.0625,3,2
12,request,4,1,1,6,1,2,1,7,57,16,39,8.142857142857142,2.2857142857142856,5.571428571428571,3,0.42857142857142855,5,5
13,request,9.5,2,2,12,1,2,1,16,262,113,115,16.375,7.0625,7.1875,9,0.5625,4,4
14,request,1.5,1,1,2.5,0,0,1,4,83,3,0,20.75,0.75,0,0,0,4,4
15,request,1,1,1,2,0,0,1,23,231,85,92,10.043478260869565,3.6956521739130435,4,4,0.17391304347826086,13,9
16,request,1,1,1,2,0,0,1,14,154,107,24,11,7.642857142857143,1.7142857142857142,2,0.14285714285714285,7,6
17,request,4,1,1,4.5,0,0,1,18,1017,514,82,56.5,28.555555555555557,4.555555555555555,3,0.16666666666666666,8,6
18,request,2,1,1,4,1,2,1,3,63,12,47,21,4,15.666666666666666,1,0.3333333333333333,3,3
19,request,10,1,1,10,0,0,1,7,263,24,225,37.57142857142857,3.4285714285714284,32.142857142857146,4,0.5714285714285714,6,6
20,request,4,1.5,1,5,0,0,1,12,151,53,67,12.583333333333334,4.416666666666667,5.583333333333333,2,0.16666666666666666,6,4
21,request,2,1,1,4,0,0,1,11,79,29,29,7.181818181818182,2.6363636363636362,2.6363636363636362,3,0.2727272727272727,6,5
22,request,1,1,1,2,0,0,1,19,1974,119,114,103.89473684210526,6.2631578947368425,6,3,0.15789473684210525,9,7
23,request,2,1,1,4,0,0,1,27,489,274,132,18.11111111111111,10.148148148148149,4.888888888888889,10,0.37037037037037035,12,10
24,request,5,1,1,9,0,0,1,63,2008,800,874,31.873015873015873,12.698412698412698,13.873015873015873,19,0.30158730158730157,22,18
2,Conversations,165,62,7,228.5,6,196,6,44,12723,11576,0,289.15909090909093,263.09090909090907,0,0,0,1,
3,Conversations,15,8,2,27,1,12,6,123,11706,8894,0,95.17073170731707,72.3089430894309,0,0,0,2,
4,Conversations,12,5,2,18,1,17,6,127,10132,8842,0,79.77952755905511,69.62204724409449,0,0,0,6,1
5,Conversations,15,4,2,25,1,8,6,135,10841,7781,0,80.3037037037037,57.63703703703704,0,0,0,13,7
6,Conversations,13.5,6,2,24.5,1,12,6,106,7083,5640,0,66.82075471698113,53.20754716981132,0,0,0,12,6
7,Conversations,12,3,1,17,1,6,6,155,11696,7716,0,75.45806451612903,49.78064516129032,0,0,0,10,2
8,Conversations,10,3,1,13.5,1,6.5,6,112,7515,5821,0,67.09821428571429,51.973214285714285,0,0,0,10,3
9,Conversations,13,3,1,22,1,8,6,155,10897,6729,0,70.30322580645161,43.41290322580645,0,0,0,17,7
10,Conversations,9,3,1,11,1,7,6,123,8418,6018,0,68.4390243902439,48.926829268292686,0,0,0,12,4
11,Conversations,13,7,1,23.5,1,12.5,8,246,50303,36729,0,204.48373983739836,149.3048780487805,0,0,0,11,2
12,Conversations,6.5,4,1,12,1,9,8,114,4384,3759,0,38.45614035087719,32.973684210526315,0,0,0,10,2
13,Conversations,13,4.5,1,20.5,1,5.5,8,142,23222,9822,0,163.53521126760563,69.16901408450704,0,0,0,12,4
14,Conversations,3,3,1,7,1,5,8,71,4699,1385,0,66.1830985915493,19.507042253521128,0,0,0,9,2
15,Conversations,5,1,1,8,1,3,8,51,2035,1226,0,39.90196078431372,24.03921568627451,0,0,0,10,3
16,Conversations,9,2.5,2,15.5,1.5,4,8,26,1315,604,0,50.57692307692308,23.23076923076923,0,0,0,4,2
17,Conversations,6,2,1,8,1,4,8,90,6066,1913,0,67.4,21.255555555555556,0,0,0,5,2
18,Conversations,5,2,1,7,1,4.5,8,30,777,497,0,25.9,16.566666666666666,0,0,0,1,
19,Conversations,4,2,1,6,1,4,8,69,3469,2583,0,50.27536231884058,37.43478260869565,0,0,0,3,1
20,Conversations,8.5,3,2,12.5,1,8,8,182,15183,13146,0,83.42307692307692,72.23076923076923,0,0,0,8,3
21,Conversations,5,2,1,9,1,3,8,95,3020,1738,0,31.789473684210527,18.294736842105262,0,0,0,4,1
22,Conversations,9,3,1,14,1,11,8,62,4724,2851,0,76.19354838709677,45.983870967741936,0,0,0,7,3
23,Conversations,6.5,2,1,9,1,7,8,36,3319,2584,0,92.19444444444444,71.77777777777777,0,0,0,5,1
24,Conversations,10,3,2,16,1,8,8,73,4642,2909,0,63.58904109589041,39.84931506849315,0,0,0,4,1
2,sentry,8,3,1,10,1,5,3,101,6897,4350,761,68.2871287128713,43.06930693069307,7.534653465346534,18,0.1782178217821782,5,4
3,sentry,7.5,5,1,12,1,5,3,52,9594,3885,3289,184.5,74.71153846153847,63.25,13,0.25,4,3
4,sentry,7,3,2,12,1,4,3,37,2474,1355,57,66.86486486486487,36.62162162162162,1.5405405405405406,4,0.10810810810810811,4,2
5,sentry,11,4,1,19,1,5,3,159,57404,8187,4296,361.0314465408805,51.490566037735846,27.0188679245283,11,0.06918238993710692,3,2
6,sentry,5,2,1,9,1,3,3,265,35677,10071,12806,134.6301886792453,38.00377358490566,48.324528301886794,45,0.16981132075471697,12,10
7,sentry,6,2,1,9,1,2,3,289,41928,12624,856,145.07958477508652,43.68166089965398,2.961937716262976,19,0.0657439446366782,7,4
8,sentry,4,1,1,7,1,2,3,108,8328,2210,458,77.11111111111111,20.462962962962962,4.2407407407407405,21,0.19444444444444445,10,9
9,sentry,4,1,1,7,1,2,3,152,10839,6037,733,71.3092105263158,39.7171052631579,4.822368421052632,21,0.13815789473684212,13,12
10,sentry,3,1,1,6,1,2,3,171,8610,3947,563,50.35087719298246,23.08187134502924,3.2923976608187133,24,0.14035087719298245,11,8
11,sentry,5,3,1,9.5,1,2,3,92,23420,1948,242,254.56521739130434,21.17391304347826,2.630434782608696,10,0.10869565217391304,14,13
12,sentry,3,2,1,6.5,1,2,3,50,11207,1611,23,224.14,32.22,0.46,3,0.06,5,3
13,sentry,3.5,1,1,8,1,2,3,64,55278,8977,11302,863.71875,140.265625,176.59375,3,0.046875,4,2
14,sentry,3,1.5,1,7,1,2,4,134,15661,5269,520,116.8731343283582,39.32089552238806,3.8805970149253732,12,0.08955223880597014,8,6
15,sentry,6,4,1,11,1,4,4,104,25766,12464,265,247.75,119.84615384615384,2.548076923076923,3,0.028846153846153848,4,1
16,sentry,8.5,4.5,2,15.5,1,2,4.5,140,63706,12675,13510,455.04285714285714,90.53571428571429,96.5,36,0.2571428571428571,5,2
17,sentry,4,2,1,8,1,2,4,187,20293,8386,1106,108.5187165775401,44.844919786096256,5.9144385026737964,36,0.1925133689839572,7,3
18,sentry,6,2,1,10,1,2,4,313,17577,9577,1502,56.156549520766774,30.597444089456868,4.798722044728435,48,0.15335463258785942,12,7
19,sentry,5,2,1,8,1,3,4,395,93681,19509,1842,237.16708860759493,49.38987341772152,4.663291139240506,65,0.16455696202531644,16,11
20,sentry,3,1,1,5,1,2,4,91,60461,1028,45,664.4065934065934,11.296703296703297,0.4945054945054945,3,0.03296703296703297,18,15
21,sentry,5,2,1,8.5,1,3,4,146,5848,2464,270,40.054794520547944,16.876712328767123,1.8493150684931507,17,0.11643835616438356,9,7
22,sentry,4,2,1,8,1,4,4,127,9676,7718,533,76.18897637795276,60.77165354330709,4.196850393700787,18,0.14173228346456693,6,4
23,sentry,8,2,2,10,1,2,3.5,113,9577,1835,295,84.75221238938053,16.238938053097346,2.6106194690265485,15,0.13274336283185842,6,5
24,sentry,6.5,3,1,11,1,5,4,98,4630,1695,1483,47.244897959183675,17.29591836734694,15.13265306122449,11,0.11224489795918367,8,6
2,robolectric,21,5.5,2,27.5,1,14.5,8,40,3398,1330,1055,84.95,33.25,26.375,22,0.55,13,6
3,robolectric,18.5,1,2,20.5,1,7,8,28,1265,459,793,45.17857142857143,16.392857142857142,28.321428571428573,18,0.6428571428571429,14,7
4,robolectric,28,3,2,28,1,9,8,39,2804,1211,1569,71.8974358974359,31.05128205128205,40.23076923076923,27,0.6923076923076923,10,3
5,robolectric,27,3,2,32.5,1,11,8,44,5629,3204,2040,127.93181818181819,72.81818181818181,46.36363636363637,29,0.6590909090909091,16,9
6,robolectric,44,3,2,49,1,19,8,69,5759,3168,2532,83.46376811594203,45.91304347826087,36.69565217391305,55,0.7971014492753623,26,13
7,robolectric,27,6,2,38,1,16,8,57,9341,4213,5034,163.87719298245614,73.91228070175438,88.3157894736842,40,0.7017543859649122,13,7
8,robolectric,31,6,2,36,1,15,8,65,5907,3527,2223,90.87692307692308,54.261538461538464,34.2,45,0.6923076923076923,18,12
9,robolectric,33.5,6.5,2,41,1,21,8,44,5788,3221,2548,131.54545454545453,73.20454545454545,57.90909090909091,35,0.7954545454545454,19,11
10,robolectric,27.5,9,2,46,1,15,7,92,22544,13190,8825,245.04347826086956,143.3695652173913,95.92391304347827,60,0.6521739130434783,20,13
11,robolectric,24,9,2,41,1,9,7,63,17922,5401,12367,284.4761904761905,85.73015873015873,196.3015873015873,42,0.6666666666666666,12,8
12,robolectric,10,4,2,18,1,6,7,79,12709,10027,2538,160.873417721519,126.92405063291139,32.12658227848101,48,0.6075949367088608,17,12
13,robolectric,18,5,2,27,1,12,7,127,148569,77934,66898,1169.8346456692914,613.6535433070866,526.7559055118111,75,0.5905511811023622,19,13
14,robolectric,14,8,2,43,1,14,7,26,2802,742,2041,107.76923076923077,28.53846153846154,78.5,19,0.7307692307692307,8,5
15,robolectric,17,1,2,21,1,4,7,15,348,169,153,23.2,11.266666666666667,10.2,11,0.7333333333333333,8,5
16,robolectric,11.5,5.5,1,20,1,3,7,38,2232,1503,533,58.73684210526316,39.55263157894737,14.026315789473685,19,0.5,14,11
17,robolectric,11,5,2,19,1,5,7,59,3603,1066,2482,61.067796610169495,18.06779661016949,42.067796610169495,39,0.6610169491525424,14,11
18,robolectric,15,2.5,2,20,1,9,7,70,6005,3341,2119,85.78571428571429,47.72857142857143,30.271428571428572,51,0.7285714285714285,28,22
19,robolectric,13,1,2,15.5,1,4,7,30,1613,636,472,53.766666666666666,21.2,15.733333333333333,18,0.6,16,11
20,robolectric,33.5,7,2,65,1,27.5,7,54,9141,6311,2646,169.27777777777777,116.87037037037037,49,40,0.7407407407407407,21,13
21,robolectric,42.5,5.5,2,59.5,1,6.5,7,22,1638,614,953,74.45454545454545,27.90909090909091,43.31818181818182,13,0.5909090909090909,11,8
22,robolectric,20,1,2,21,1,6,7,33,1606,789,733,48.666666666666664,23.90909090909091,22.21212121212121,25,0.7575757575757576,24,18
23,robolectric,29,1,2,30,1,7,7,16,630,257,359,39.375,16.0625,22.4375,13,0.8125,10,6
24,robolectric,27,5,2,39,1,12,7,31,3618,928,2589,116.70967741935483,29.93548387096774,83.51612903225806,23,0.7419354838709677,14,11
2,bundler,2,1,1,2,1,2,3,15,1000,861,129,66.66666666666667,57.4,8.6,4,0.26666666666666666,8,6
3,bundler,13,1,2,20,1,3,3,15,343,133,176,22.866666666666667,8.866666666666667,11.733333333333333,10,0.6666666666666666,4,3
4,bundler,3,1,1,5,1,2,3,29,455,232,153,15.689655172413794,8,5.275862068965517,11,0.3793103448275862,9,7
5,bundler,4.5,1,1.5,8.5,0,0,3,28,1834,54,1760,65.5,1.9285714285714286,62.857142857142854,19,0.6785714285714286,7,4
6,bundler,3,1,1,6,0.5,1,3,20,337,116,76,16.85,5.8,3.8,7,0.35,7,5
7,bundler,5,2,1,8,0,0,3,160,5087,2922,1280,31.79375,18.2625,8,54,0.3375,24,18
8,bundler,5,2,1,9,1,1,3,59,1012,294,387,17.152542372881356,4.983050847457627,6.559322033898305,16,0.2711864406779661,9,5
9,bundler,4,2,1,6,1,2,3,87,2123,1440,408,24.402298850574713,16.551724137931036,4.689655172413793,26,0.2988505747126437,13,10
10,bundler,5,2,1,8,1,4,3,131,2163,1230,472,16.51145038167939,9.389312977099237,3.6030534351145036,40,0.3053435114503817,16,14
11,bundler,2,1,1,4,1,2,3,47,672,244,359,14.297872340425531,5.191489361702128,7.638297872340425,12,0.2553191489361702,9,7
12,bundler,1.5,2,1,3,1,3,3,12,1604,1526,40,133.66666666666666,127.16666666666667,3.3333333333333335,2,0.16666666666666666,6,3
13,bundler,5,1,1,7,1,5,3,29,544,513,11,18.75862068965517,17.689655172413794,0.3793103448275862,2,0.06896551724137931,9,8
14,bundler,2.5,2,1,4.5,0,0,3,44,556,188,228,12.636363636363637,4.2727272727272725,5.181818181818182,23,0.5227272727272727,12,9
15,bundler,6,3,1,11,0,0,3,63,1454,834,346,23.07936507936508,13.238095238095237,5.492063492063492,25,0.3968253968253968,16,11
16,bundler,4,2,1,6,1,2,3,56,1044,292,536,18.642857142857142,5.214285714285714,9.571428571428571,13,0.23214285714285715,15,12
17,bundler,4,2,1,8,1,4,3,57,1061,681,283,18.614035087719298,11.947368421052632,4.964912280701754,16,0.2807017543859649,14,11
18,bundler,8,4.5,2,17.5,0,0,3,34,1732,189,1509,50.94117647058823,5.5588235294117645,44.38235294117647,20,0.5882352941176471,9,6
19,bundler,4,1.5,1,6,1,2,3,52,1244,808,370,23.923076923076923,15.538461538461538,7.115384615384615,18,0.34615384615384615,18,11
20,bundler,4.5,2,1,8,1,3.5,3,82,7290,6005,482,88.90243902439025,73.23170731707317,5.878048780487805,25,0.3048780487804878,15,10
21,bundler,5,4,1,11,1,4,3,107,3831,2656,1017,35.80373831775701,24.822429906542055,9.504672897196262,39,0.3644859813084112,14,9
22,bundler,3,2.5,1,7,1,2,3,60,898,407,329,14.966666666666667,6.783333333333333,5.483333333333333,16,0.26666666666666666,22,19
23,bundler,2.5,1,1,4,0,0,3.5,54,462,166,123,8.555555555555555,3.074074074074074,2.2777777777777777,16,0.2962962962962963,9,8
24,bundler,7.5,1,2,13,1,2,3.5,56,2431,940,1393,43.410714285714285,16.785714285714285,24.875,19,0.3392857142857143,14,10
2,vanilla,4,2,1,6,1,6,4,92,1862,1839,0,20.23913043478261,19.98913043478261,0,0,0,3,
3,vanilla,3,1,1,5,1,4,3,59,927,837,0,15.711864406779661,14.186440677966102,0,0,0,5,2
4,vanilla,4,1,1,6,1,5,4,53,19026,15596,0,358.9811320754717,294.2641509433962,0,0,0,7,1
5,vanilla,13.5,8.5,1,26.5,1,22,3.5,56,17029,5389,85,304.0892857142857,96.23214285714286,1.5178571428571428,1,0.017857142857142856,4,
6,vanilla,10,3,1,18,1,8,3,37,7888,2391,0,213.1891891891892,64.62162162162163,0,0,0,4,
7,vanilla,12,5,1,15,1,14,4,59,12244,7993,0,207.52542372881356,135.47457627118644,0,0,0,6,
8,vanilla,7,2,1,10,1,10,3.5,58,6020,5948,0,103.79310344827586,102.55172413793103,0,0,0,7,
9,vanilla,4,2,1,6,1,5,4,74,3665,2861,0,49.527027027027025,38.66216216216216,0,0,0,7,1
10,vanilla,5,2,1,6,1,5,3.75,109,4248,2742,0,38.972477064220186,25.155963302752294,0,0,0,10,2
11,vanilla,4,2,1,10,1,8,3.5,85,3015,2079,0,35.470588235294116,24.458823529411763,0,0,0,8,1
12,vanilla,11,2,1,14,1,14,4,41,784,768,0,19.121951219512194,18.73170731707317,0,0,0,8,1
13,vanilla,2,2,1,6,1,4,3,45,9272,1225,2,206.04444444444445,27.22222222222222,0.044444444444444446,1,0.022222222222222223,6,
14,vanilla,4,1,1,6,1,6,3,99,1436,1436,0,14.505050505050505,14.505050505050505,0,0,0,7,
15,vanilla,3,2,1,5,1,5,3,78,4312,1430,0,55.282051282051285,18.333333333333332,0,0,0,14,5
16,vanilla,3.5,2,1,5,1,5,3.5,86,1740,1725,0,20.232558139534884,20.058139534883722,0,0,0,13,2
17,vanilla,4,2,1,6,1,5,4,101,4549,4511,0,45.039603960396036,44.663366336633665,0,0,0,10,
18,vanilla,3,2,1,7,1,5,3,43,1050,1011,0,24.41860465116279,23.511627906976745,0,0,0,12,3
19,vanilla,5,2,1,8,1,8,3,127,32918,10782,1339,259.1968503937008,84.89763779527559,10.543307086614174,1,0.007874015748031496,14,1
20,vanilla,5,3,1,10,1,8.5,4,106,36290,3892,0,342.35849056603774,36.716981132075475,0,0,0,16,4
21,vanilla,4,2,1,7,1,7,3.5,101,3422,3364,0,33.881188118811885,33.306930693069305,0,0,0,10,1
22,vanilla,4,2,1,9,1,8,3.75,87,3298,3255,0,37.9080459770115,37.41379310344828,0,0,0,8,1
